,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,classification
59,-81,-74,100,100,-77,-71,100,100,-95,100,100,100,-86,-80,100,100,-77,-93,100,100,100,100,100,100,-53,34
1,-80,-79,100,100,-81,-57,100,100,100,100,100,100,-80,-86,-96,100,-88,100,100,100,100,100,100,100,-61,35
2,-84,-75,100,100,-75,-62,100,100,100,100,100,100,-75,-96,-92,100,-77,100,100,100,100,100,100,100,-59,35
3,-87,-75,100,100,-87,-64,100,100,100,100,100,100,-77,-83,100,100,-82,100,100,100,100,100,100,100,-60,35
4,-81,100,100,100,-74,-61,100,100,100,100,100,100,-76,100,100,100,-76,-97,100,100,100,100,100,100,-65,35
5,-87,-74,100,100,-92,-64,100,100,100,100,100,100,-76,-83,100,100,-78,100,100,100,100,100,100,100,-60,35
6,-82,-82,100,100,-80,-57,100,100,100,100,100,100,-78,-86,100,100,100,100,100,100,100,100,100,100,-60,35
7,-83,-76,100,100,-74,-62,100,100,100,100,100,100,-75,100,-91,100,-77,100,100,100,100,100,100,100,-59,35
8,-80,-80,100,100,-80,-57,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,35
9,-80,-76,100,100,-74,-62,100,100,-93,100,100,100,-75,100,100,100,-77,100,100,100,100,100,100,100,-59,35
10,-88,-75,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-92,100,-81,100,100,100,100,100,100,100,-60,35
11,-80,-80,100,100,-80,-57,100,100,-93,100,100,100,-81,-86,100,100,-93,100,100,100,100,100,100,100,-61,35
12,100,-74,100,100,100,-64,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,35
13,100,100,100,100,-88,-57,100,100,100,100,100,100,-80,-90,100,100,-95,100,100,100,100,100,100,100,-61,35
14,-79,-76,100,100,-75,-61,100,100,100,100,100,100,-78,-88,-91,100,-94,100,100,100,100,100,100,100,-59,35
15,-88,-74,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-91,100,-80,100,100,100,100,100,100,100,-60,35
16,-88,-74,100,100,100,-64,100,100,100,100,100,100,-77,-84,100,100,100,100,100,100,100,100,100,100,100,35
17,-84,100,100,100,-74,-62,100,100,100,100,100,100,-76,-86,-91,100,-77,100,100,100,100,100,100,100,-60,35
18,-80,-80,100,100,-87,-64,100,100,-93,100,100,100,-81,-86,-97,100,-81,100,100,100,100,100,100,100,-61,35
19,-84,-76,100,100,-74,-61,100,100,100,100,100,100,-75,-94,-91,100,-77,100,100,100,100,-92,100,100,-59,35
20,100,-76,100,100,-74,-61,100,100,100,100,100,100,-75,100,-90,100,-77,100,100,100,100,100,100,100,100,35
21,-80,-76,100,100,-80,-57,100,100,100,100,100,100,-81,100,-91,100,-92,100,100,100,100,100,100,100,-61,35
22,-88,-74,100,100,-88,-64,100,100,100,100,100,100,-77,-92,-91,100,-77,100,100,100,100,100,100,100,-60,35
23,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-80,100,-97,100,-92,100,100,100,100,100,100,100,-61,35
24,-80,-79,100,100,-80,-57,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,35
25,-88,-74,100,100,-87,-64,100,100,100,100,100,100,-76,-85,100,100,-81,100,100,100,100,100,100,100,-60,35
26,-80,-76,100,100,-75,-58,100,100,100,100,100,100,-81,100,100,100,-91,100,100,100,100,100,100,100,-61,35
27,-87,-74,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-91,100,-80,100,100,100,100,100,100,100,-60,35
28,-88,-74,100,100,-88,-64,100,100,100,100,100,100,-77,-86,100,100,-80,100,100,100,100,100,100,100,-60,35
