index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
145,2022-11-19-14:27:45:370,0.11082995,-0.12706457,-0.76588315,0.6204793,-0.044386018,2.1281445,9.572847,0.92731476,-0.8607775,-0.21032906
146,2022-11-19-14:27:45:381,0.11082995,-0.12706457,-0.76588315,0.6204793,-0.044386018,2.1281445,9.572847,0.92731476,-0.8607775,-0.21032906
147,2022-11-19-14:27:45:393,0.11082995,-0.12706457,-0.76588315,0.6204793,-0.006212187,2.1698427,9.563583,1.3556771,-0.78423727,-1.1359243
148,2022-11-19-14:27:45:404,0.11082995,-0.12706457,-0.76588315,0.6204793,-0.006212187,2.1698427,9.563583,1.3556771,-0.78423727,-1.1359243
149,2022-11-19-14:27:45:415,0.11082995,-0.12706457,-0.76588315,0.6204793,-0.006212187,2.1698427,9.563583,1.3556771,-0.78423727,-1.1359243
150,2022-11-19-14:27:45:426,0.11091145,-0.12050729,-0.7689285,0.61800134,-0.02810208,2.1963925,9.557482,0.73112464,-1.1430417,-1.1509342
151,2022-11-19-14:27:45:437,0.09394465,-0.10382227,-0.7716692,0.6204208,-0.042614873,2.1679294,9.563924,0.22604519,-1.2283075,-0.5737581
152,2022-11-19-14:27:45:448,0.09394465,-0.10382227,-0.7716692,0.6204208,-0.042614873,2.1679294,9.563924,0.22604519,-1.2283075,-0.5737581
153,2022-11-19-14:27:45:458,0.09394465,-0.10382227,-0.7716692,0.6204208,-0.042614873,2.1679294,9.563924,0.22604519,-1.2283075,-0.5737581
154,2022-11-19-14:27:45:469,0.09288762,-0.102302186,-0.7725279,0.61976373,-0.043345697,2.1396184,9.570295,0.1597035,-1.1628876,-0.56665325
155,2022-11-19-14:27:45:480,0.06835644,-0.07605625,-0.77588195,0.6225353,-0.043345697,2.1396184,9.570295,0.1597035,-1.1628876,-0.56665325
156,2022-11-19-14:27:45:491,0.06835644,-0.07605625,-0.77588195,0.6225353,-0.034152318,2.1230412,9.574022,0.17195447,-0.8479842,-0.9124317
157,2022-11-19-14:27:45:501,0.06835644,-0.07605625,-0.77588195,0.6225353,-0.034152318,2.1230412,9.574022,0.17195447,-0.8479842,-0.9124317
158,2022-11-19-14:27:45:512,0.06770966,-0.0722266,-0.77635664,0.6224702,-0.02211893,2.1121778,9.576462,0.1310501,-0.5074104,-1.2889957
159,2022-11-19-14:27:45:523,0.041308586,-0.06468047,-0.7793848,0.62182754,-0.014416722,2.0996752,9.579226,0.20949087,-0.26551688,-1.6047497
160,2022-11-19-14:27:45:533,0.041308586,-0.06468047,-0.7793848,0.62182754,-0.014416722,2.0996752,9.579226,0.20949087,-0.26551688,-1.6047497
161,2022-11-19-14:27:45:544,0.041308586,-0.06468047,-0.7793848,0.62182754,-0.014416722,2.0996752,9.579226,0.20949087,-0.26551688,-1.6047497
162,2022-11-19-14:27:45:554,0.026286677,-0.07569234,-0.7785344,0.6224661,-0.013455843,2.080508,9.583407,0.18935053,-0.08879113,-1.6369429
163,2022-11-19-14:27:45:564,0.026286677,-0.07569234,-0.7785344,0.6224661,-0.015202054,2.05468,9.588976,0.016256806,0.060936928,-1.534648
164,2022-11-19-14:27:45:576,0.025757924,-0.08112128,-0.7804879,0.6193502,-0.015202054,2.05468,9.588976,0.016256806,0.060936928,-1.534648
165,2022-11-19-14:27:45:589,0.025757924,-0.08112128,-0.7804879,0.6193502,-0.017473942,2.0276906,9.594715,-0.18983945,0.20190907,-1.2639065
166,2022-11-19-14:27:45:600,0.025757924,-0.08112128,-0.7804879,0.6193502,-0.014139859,2.009374,9.598573,-0.18983945,0.20190907,-1.2639065
167,2022-11-19-14:27:45:611,0.014520771,-0.0836814,-0.7829016,0.6163212,-0.014139859,2.009374,9.598573,-0.104582265,0.29802918,-1.1094618
168,2022-11-19-14:27:45:621,0.014457788,-0.08358557,-0.78320503,0.61595005,-0.0064016255,2.0059998,9.599287,0.16067399,0.44637442,-1.3341303
169,2022-11-19-14:27:45:632,0.014457788,-0.08358557,-0.78320503,0.61595005,-0.0064016255,2.0059998,9.599287,0.16067399,0.44637442,-1.3341303
170,2022-11-19-14:27:45:645,0.018786717,-0.0705361,-0.78431237,0.6160567,0.0026572263,2.0091836,9.598622,0.36473715,0.55954504,-1.5111723
171,2022-11-19-14:27:45:655,0.017311916,-0.06840463,-0.78751844,0.6122383,0.0026572263,2.0091836,9.598622,0.36473715,0.55954504,-1.5111723
172,2022-11-19-14:27:45:664,0.017311916,-0.06840463,-0.78751844,0.6122383,0.0080862595,2.0084908,9.598764,0.4790448,0.55883956,-1.1041899
173,2022-11-19-14:27:45:674,0.027356304,-0.06930031,-0.7877331,0.6114946,0.0080862595,2.0084908,9.598764,0.4790448,0.55883956,-1.1041899
174,2022-11-19-14:27:45:685,0.027356304,-0.06930031,-0.7877331,0.6114946,0.0067590075,2.0088732,9.598685,0.5282792,0.5683179,-0.39861202
175,2022-11-19-14:27:45:695,0.027356304,-0.06930031,-0.7877331,0.6114946,0.0067590075,2.0088732,9.598685,0.5282792,0.5683179,-0.39861202
